UserID,CodeID,Duration,TimeTotal,Correct,Answer,TimeStamp,rank
3,24,23267,23267,T,"5 3","2016-03-29 18:54:52",59
7,103,63149,63149,F,i,"2016-03-29 18:54:54",7
6,66,14297,14297,F,"4 8","2016-03-29 18:54:58",79
6,116,9062,9062,F,3,"2016-03-29 18:55:07",80
6,17,8560,8560,F,true,"2016-03-29 18:55:16",81
3,94,31464,31464,F,a,"2016-03-29 18:55:24",60
6,59,10458,10458,T,true,"2016-03-29 18:55:27",82
6,30,6770,6770,T,9,"2016-03-29 18:55:34",83
3,109,17985,17985,F,2,"2016-03-29 18:55:42",61
7,118,56507,56507,T,4,"2016-03-29 18:55:51",8
7,25,11929,11929,T,5,"2016-03-29 18:56:03",9
3,47,30241,30241,F,"7 10 5 6","2016-03-29 18:56:13",62
7,1,19455,19455,T,false,"2016-03-29 18:56:23",10
7,100,8994,8994,T,1,"2016-03-29 18:56:32",11
3,121,10332,10332,T,4,"2016-03-29 18:56:45",64
3,63,22919,22919,F,"3 6 4","2016-03-29 18:57:09",65
7,111,45512,45512,T,"5 3","2016-03-29 18:57:18",12
3,29,18388,18388,T,5,"2016-03-29 18:57:27",66
7,122,20364,20364,T,4,"2016-03-29 18:57:39",13
3,75,18472,18472,F,true,"2016-03-29 18:57:46",67
7,72,9453,9453,T,"2 1","2016-03-29 18:57:49",14
3,9,12051,12051,F,false,"2016-03-29 18:57:59",68
3,6,27019,27019,F,false,"2016-03-29 18:58:26",69
7,84,60581,60581,T,"11 11 10","2016-03-29 18:58:50",15
3,89,33982,33982,T,2,"2016-03-29 18:59:00",70
3,81,41039,41039,F,"1 5","2016-03-29 18:59:42",71
7,47,57286,57286,T,3,"2016-03-29 18:59:48",16
3,51,23430,23430,T,2,"2016-03-29 19:00:05",72
7,13,20118,20118,T,"3 5","2016-03-29 19:00:08",17
3,93,14684,14684,F,3,"2016-03-29 19:00:20",73
3,100,6595,6595,T,1,"2016-03-29 19:00:27",74
7,35,20367,20367,T,"2 2","2016-03-29 19:00:29",18
7,19,12489,12489,T,"3 1","2016-03-29 19:00:42",19
3,48,32139,32139,F,2,"2016-03-29 19:01:00",75
7,37,27228,27228,F,126,"2016-03-29 19:01:09",20
3,71,14107,14107,F,"1 2","2016-03-29 19:01:14",76
7,73,12761,12761,T,true,"2016-03-29 19:01:23",21
7,61,24064,24064,T,"2 1","2016-03-29 19:01:47",22
3,117,32666,32666,F,5,"2016-03-29 19:01:47",77
7,29,11546,11546,T,5,"2016-03-29 19:01:59",23
7,2,13915,13915,T,false,"2016-03-29 19:02:13",24
3,112,25713,25713,F,"3 8","2016-03-29 19:02:13",78
3,30,10174,10174,T,9,"2016-03-29 19:02:24",79
7,117,27405,27405,T,4,"2016-03-29 19:02:41",25
3,36,18988,18988,T,"5 5","2016-03-29 19:02:43",80
7,106,9168,9168,T,23,"2016-03-29 19:02:51",26
3,76,13517,13517,T,false,"2016-03-29 19:02:57",81
